,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,gas_kwh_per_acc,temp_extremes_min,max_temperature,temp_var,price_electtariffs_inflatnadjusted_cent_per_kwh,mean_temp,elec_price
139,139.2,2016,8,25.236155913978497,637.173448275862,79.04836795252226,22.1,33.8,11.699999999999996,19.7,28.9,125.52316931034483
140,118.9,2016,9,24.610138888888887,646.723875432526,80.17781065088757,22.6,34.4,11.799999999999997,19.7,28.3,127.40460346020764
141,181.0,2016,10,24.35282258064516,676.3586614173229,77.78816568047338,21.6,34.6,13.0,19.7,28.3,133.24265629921263
142,290.2,2016,11,24.353194444444444,662.3245059288538,79.33727810650888,22.7,32.6,9.900000000000002,19.7,27.4,130.4779276679842
143,292.6,2016,12,23.570833333333333,591.1814229249012,75.02908011869437,23.0,33.6,10.600000000000001,19.7,27.4,116.46274031620554
144,197.6,2017,1,24.893010752688173,572.4892733564013,75.11577380952382,21.8,33.7,11.900000000000002,21.2,26.9,121.36772595155708
145,158.4,2017,2,24.679464285714282,573.2006920415225,79.72818991097924,22.6,32.4,9.799999999999997,21.2,26.9,121.51854671280277
146,136.2,2017,3,24.988440860215057,537.715570934256,79.96557863501484,22.9,33.3,10.399999999999999,21.2,27.4,113.99570103806226
147,208.6,2017,4,25.54638888888889,579.422491349481,81.42106824925817,22.8,34.4,11.599999999999998,21.2,27.8,122.83756816608997
148,190.0,2017,5,26.114650537634407,605.0314878892734,76.26547619047619,23.6,32.8,9.199999999999996,21.2,28.5,128.26667543252597
149,106.0,2017,6,25.75847222222222,656.385763888889,78.49642857142857,22.2,33.0,10.8,21.2,28.5,139.15378194444446
150,79.6,2017,7,25.50577956989247,657.268858131488,79.83946587537092,23.5,32.4,8.899999999999999,21.2,28.3,139.34099792387545
151,84.2,2017,8,25.39059139784946,604.8705882352941,74.39169139465875,23.7,33.0,9.3,21.2,28.1,128.23256470588234
152,124.4,2017,9,25.380555555555556,602.3958477508651,75.07774480712166,22.3,32.4,10.099999999999998,21.2,28.0,127.7079197231834
153,120.8,2017,10,25.47970430107527,602.0384083044983,77.87781065088758,23.5,34.6,11.100000000000001,21.2,27.9,127.63214256055363
154,268.6,2017,11,25.229999999999997,598.3809027777778,78.1621301775148,23.1,32.5,9.399999999999999,21.2,27.1,126.8567513888889
155,371.2,2017,12,25.010080645161292,563.6114186851212,73.07596439169139,23.2,33.5,10.3,21.2,27.0,119.48562076124568
156,287.0,2018,1,24.34543010752688,493.55900277008305,76.43757396449705,21.3,33.2,11.900000000000002,23.1,26.1,114.0121296398892
157,14.8,2018,2,24.058630952380952,452.45773480662984,77.66231454005936,23.5,33.5,10.0,23.1,27.2,104.5177367403315
158,44.6,2018,3,24.96532258064516,464.9469613259668,77.77988165680473,23.6,34.2,10.600000000000001,23.1,28.0,107.40274806629834
159,61.2,2018,4,25.470000000000002,525.9472375690608,78.7878698224852,22.6,35.0,12.399999999999999,23.1,28.5,121.49381187845304
160,132.2,2018,5,25.72244623655914,545.4044198895027,74.83639053254439,23.6,34.2,10.600000000000001,23.1,28.7,125.98842099447513
161,182.6,2018,6,25.57097222222222,576.0016666666667,75.95266272189349,22.9,33.4,10.5,23.1,28.4,133.056385
162,143.2,2018,7,25.403091397849465,532.6398891966759,73.61360946745563,21.9,33.0,11.100000000000001,23.1,28.5,123.03981440443214
163,121.6,2018,8,25.324596774193548,520.7541666666667,73.92781065088757,21.9,33.2,11.300000000000004,23.1,28.5,120.29421250000001
164,144.4,2018,9,24.81625,535.0633333333333,75.38076923076923,21.4,33.0,11.600000000000001,23.1,28.0,123.59962999999999
165,234.4,2018,10,25.083870967741937,539.9586111111112,76.3946587537092,22.5,34.5,12.0,23.1,27.9,124.73043916666668
166,169.6,2018,11,25.04638888888889,519.4547222222222,76.61988130563799,22.4,33.4,11.0,23.1,27.3,119.99404083333334
167,172.6,2018,12,25.06532258064516,470.5022222222222,73.13668639053255,23.6,33.8,10.199999999999996,23.1,27.6,108.68601333333334
168,63.6,2019,1,24.605376344086025,494.21606648199446,73.22810650887574,23.5,33.4,9.899999999999999,23.6,28.0,116.6349916897507
169,31.6,2019,2,24.58169642857143,502.42216066481996,73.4913946587537,21.9,34.1,12.200000000000003,23.6,28.2,118.57162991689752
170,72.2,2019,3,24.7375,489.57783933518004,73.5310650887574,22.3,34.8,12.499999999999996,23.6,28.7,115.5403700831025
171,174.8,2019,4,25.502777777777776,526.7360110803324,76.41065088757396,22.7,34.5,11.8,23.6,28.6,124.30969861495846
172,69.0,2019,5,26.34193548387097,548.4894736842106,71.82810650887575,22.8,34.7,11.900000000000002,23.6,29.3,129.4435157894737
173,173.8,2019,6,25.61277777777778,528.5793296089386,74.53827893175075,23.3,33.0,9.7,23.6,28.4,124.74472178770951
174,12.2,2019,7,25.546505376344083,516.4778393351801,70.82988165680473,23.9,33.4,9.5,23.6,29.0,121.8887700831025
175,11.8,2019,8,25.14758064516129,533.3797783933518,71.44421364985163,24.5,34.0,9.5,23.6,29.1,125.87762770083103
176,22.8,2019,9,25.17666666666667,563.38891966759,73.55697329376855,22.9,34.3,11.399999999999999,23.6,29.0,132.95978504155124
177,176.8,2019,10,25.08306451612903,550.2767313019391,73.64154302670623,22.9,34.4,11.5,23.6,28.1,129.86530858725763
178,137.4,2019,11,25.128194444444443,530.8448753462604,74.05786350148368,22.9,34.4,11.5,23.6,28.0,125.27939058171746
179,421.5,2019,12,24.581317204301076,484.84404432132965,72.07626112759644,22.7,32.3,9.599999999999998,23.6,26.7,114.42319445983381
180,88.4,2020,1,24.690725806451614,475.42465373961215,72.96498516320474,23.8,32.8,8.999999999999996,22.1,27.7,105.0688484764543
181,65.0,2020,2,24.543390804597703,491.0285714285714,78.92581602373888,23.7,33.1,9.400000000000002,22.1,27.9,108.51731428571429
182,108.8,2020,3,25.122580645161293,513.3214285714286,81.09970326409496,24.1,34.0,9.899999999999999,22.1,28.6,113.44403571428573
183,188.0,2020,4,25.509722222222223,558.3412087912088,83.56805970149253,23.8,34.6,10.8,22.1,28.9,123.39340714285717
184,255.6,2020,5,26.02405913978495,555.5370879120879,86.6293768545994,23.6,34.5,10.899999999999999,22.1,28.9,122.77369642857145
185,233.8,2020,6,25.440416666666664,706.5443526170799,110.85816023738872,23.7,33.0,9.3,22.1,28.1,156.14630192837467
186,140.8,2020,7,25.021639784946235,701.858217270195,113.86765578635016,23.7,32.5,8.8,22.1,27.9,155.1106660167131
187,103.4,2020,8,25.113844086021505,578.0386740331492,93.74836795252226,22.5,33.0,10.5,22.1,28.3,127.74654696132598
188,150.2,2020,9,24.719305555555557,556.1304945054945,87.39050445103857,21.9,33.2,11.300000000000004,22.1,27.5,122.9048392857143
189,78.8,2020,10,24.916263440860217,532.8629120879122,81.47210682492582,22.2,34.1,11.900000000000002,22.1,28.3,117.7627035714286
190,220.6,2020,11,24.803055555555556,540.7575757575758,83.50652818991098,23.3,33.4,10.099999999999998,22.1,27.2,119.50742424242426
191,253.2,2020,12,24.651612903225807,530.4366391184573,81.57827380952381,23.0,33.5,10.5,22.1,27.2,117.22649724517908
192,692.8,2021,1,23.73333333333333,502.5747922437673,83.77299703264094,21.7,31.6,9.900000000000002,22.5,26.0,113.07932825484765
193,1.0,2021,2,23.745386904761904,478.35527777777776,85.27210682492581,23.7,33.7,10.000000000000004,22.5,27.3,107.6299375
194,182.4,2021,3,24.68938172043011,490.0388888888889,81.66172106824926,23.0,34.2,11.200000000000003,22.5,27.9,110.25875
195,290.4,2021,4,25.122500000000002,544.7195592286502,81.77566765578635,23.1,34.7,11.600000000000001,22.5,28.2,122.56190082644629
196,245.8,2021,5,25.861424731182797,565.9892561983471,80.04688427299703,22.9,33.6,10.700000000000003,22.5,28.7,127.3475826446281
